Category,Rank,Name,PID,CPU%,RAM_Bytes,RAM_MB
TOP_CPU,1,CTMsgHostChrome.exe,18620,0,30961664,29.5273
TOP_CPU,2,chrome.exe,16512,0,314523648,299.953
TOP_CPU,3,chrome.exe,27808,0,11476992,10.9453
TOP_CPU,4,chrome.exe,28920,0,214032384,204.117
TOP_CPU,5,chrome.exe,29996,0,57786368,55.1094
TOP_RAM,1,RustClient.exe,26876,0,8247803904,7865.72
TOP_RAM,2,chrome.exe,23204,0,1122820096,1070.8
TOP_RAM,3,Code.exe,15256,0,557854720,532.012
TOP_RAM,4,Discord.exe,27004,0,540635136,515.59
TOP_RAM,5,chrome.exe,33048,0,536383488,511.535
TOP_CPU,1,RustClient.exe,26876,40.2985,8249487360,7867.32
TOP_CPU,2,Code.exe,15248,0.932836,304246784,290.152
TOP_CPU,3,Code.exe,15256,0.932836,562388992,536.336
TOP_CPU,4,Code.exe,23368,0.932836,339705856,323.969
TOP_CPU,5,chrome.exe,28920,0.373134,213864448,203.957
TOP_RAM,1,RustClient.exe,26876,40.2985,8249487360,7867.32
TOP_RAM,2,chrome.exe,23204,0,1122820096,1070.8
TOP_RAM,3,Code.exe,15256,0.932836,562388992,536.336
TOP_RAM,4,Discord.exe,27004,0.186567,540647424,515.602
TOP_RAM,5,chrome.exe,33048,0.373134,537845760,512.93
TOP_CPU,1,RustClient.exe,26876,37.7841,8249741312,7867.57
TOP_CPU,2,chrome.exe,28920,0.473485,213942272,204.031
TOP_CPU,3,SteelSeriesEngine.exe,24284,0.284091,79187968,75.5195
TOP_CPU,4,chrome.exe,33048,0.284091,537845760,512.93
TOP_CPU,5,Code.exe,5260,0.189394,240021504,228.902
TOP_RAM,1,RustClient.exe,26876,37.7841,8249741312,7867.57
TOP_RAM,2,chrome.exe,23204,0,1122820096,1070.8
TOP_RAM,3,Code.exe,15256,0.094697,562184192,536.141
TOP_RAM,4,Discord.exe,27004,0,540647424,515.602
TOP_RAM,5,chrome.exe,33048,0.284091,537845760,512.93
TOP_CPU,1,RustClient.exe,26876,33.428,8241889280,7860.08
TOP_CPU,2,chrome.exe,33048,1.23106,523624448,499.367
TOP_CPU,3,chrome.exe,28920,0.94697,214028288,204.113
TOP_CPU,4,SteelSeriesEngine.exe,24284,0.378788,79187968,75.5195
TOP_CPU,5,NVIDIA Overlay.exe,16576,0.189394,76181504,72.6523
TOP_RAM,1,RustClient.exe,26876,33.428,8241889280,7860.08
TOP_RAM,2,chrome.exe,23204,0,1122820096,1070.8
TOP_RAM,3,Code.exe,15256,0.189394,564686848,538.527
TOP_RAM,4,Discord.exe,27004,0,540577792,515.535
TOP_RAM,5,chrome.exe,33048,1.23106,523624448,499.367
TOP_CPU,1,RustClient.exe,26876,38.7311,8247529472,7865.46
